"","pid","viallabel","sex","group","intervention","weight","vo_max1","vo_max2"
"90217013001",10023259,"90217013001","male","control","control",346.2,64.47,63.47
"90218013001",10024735,"90218013001","male","8w","training",304.7,72.6,81.32
"90219013104",10024816,"90219013104","male","control","control",324.6,66.38,61.39
"90220013104",10025464,"90220013104","male","control","control",332.8,63.31,62.27
"90221013104",10025545,"90221013104","male","control","control",353.8,64.37,58.48
"90222013002",10025626,"90222013002","male","8w","training",293.3,65.15,79.69
"90223013002",10025707,"90223013002","male","8w","training",331,60.42,78.77
"90224013104",10025898,"90224013104","male","8w","training",321.1,68.45,78.55
"90225013001",10025979,"90225013001","male","8w","training",327,64.01,76.23
"90226013104",10026002,"90226013104","male","control","control",360.2,65.3,59.12
"90227013002",10026193,"90227013002","male","8w","training",321.2,65.77,69.34
"90228013104",10026274,"90228013104","male","control","control",318.6,67.75,62.94
"90229013002",10026355,"90229013002","male","control","control",381.1,54.69,52.64
"90230013104",10026436,"90230013104","male","8w","training",311.2,66.14,70.34
"90231013104",10026517,"90231013104","male","control","control",366.1,61.58,52.76
"90232013002",10026789,"90232013002","male","control","control",357.2,60.18,59.7
"90233013104",10026940,"90233013104","male","8w","training",326.5,65.35,73.37
"90235013104",10027084,"90235013104","male","8w","training",324.5,65.6,78.22
"90234013104",10027165,"90234013104","male","8w","training",305.2,67.27,81.49
"90236013104",10027246,"90236013104","male","8w","training",287.4,68.99,78.06
"90237013002",10027327,"90237013002","male","control","control",351.4,64.69,58.53
"90238013104",10027408,"90238013104","male","8w","training",312.6,61.83,78.25
"90239013002",10027599,"90239013002","male","control","control",342.7,55.47,60.42
"90240013104",10027831,"90240013104","male","control","control",383.4,66.66,58.73
"90241013104",10027912,"90241013104","male","8w","training",317.9,66.89,80.18
"90245013002",10043527,"90245013002","female","control","control",196.2,83.8,73.16
"90246013104",10043608,"90246013104","female","8w","training",194,68.7,83.57
"90247016005",10043799,"90247016005","female","control","control",196.2,71.7,63.77
"90248013001",10043950,"90248013001","female","control","control",195,72.5,64.63
"90249013104",10044094,"90249013104","female","control","control",190,69.7,61.85
"90251013001",10044256,"90251013001","female","8w","training",176.8,72.6,76.17
"90252013001",10044337,"90252013001","female","control","control",199.1,69.6,73.52
"90253013104",10044418,"90253013104","female","control","control",186.4,77.6,63.65
"90254013002",10044760,"90254013002","female","8w","training",180,69.9,83.92
"90255013104",10044841,"90255013104","female","8w","training",180.7,65.1,84.43
"90256013104",10044922,"90256013104","female","control","control",180.2,69.7,64.39
"90258013001",10045228,"90258013001","female","8w","training",181.3,66.4,81.87
"90259013002",10045309,"90259013002","female","8w","training",183.4,74,82.68
"90260013104",10045570,"90260013104","female","control","control",184.8,65.8,73.62
"90261013104",10045651,"90261013104","female","8w","training",197.7,67.9,82.17
"90262013104",10045732,"90262013104","female","8w","training",179.7,79.6,85.13
"90263013104",10045813,"90263013104","female","control","control",179.9,77.3,65.33
"90264013104",10046038,"90264013104","female","control","control",199,72.8,72.92
"90265013001",10046119,"90265013001","female","control","control",200.2,79.5,64.04
"90266013002",10046380,"90266013002","female","control","control",209.3,75.6,61.43
